,attr_id,name,quantity,unit
0,204,Total Fat,65,g
1,606,Saturated Fat,20,g
2,601,Cholesterol,300,mg
3,307,Sodium,2400,mg
4,306,Potassium,3500,mg
5,291,Dietary Fiber,25,g
6,203,Protein,50,g
7,318,Vitamin A,5000,IU
8,401,Vitamin C,60,mg
9,301,Calcium,1000,mg
10,303,Iron,18,mg
11,324,Vitamin D,400,IU
12,323,Vitamin E,30,IU
13,430,Vitamin K,80,µg
14,404,Thiamin,1.5,mg
15,405,Riboflavin,1.7,mg
16,406,Niacin,20,mg
17,415,Vitamin B6,2,mg
18,435,Folate,400,µg
19,418,Vitamin B12,6,µg
20,410,Pantothenic acid,10,mg
21,305,Phosphorus,1000,mg
22,304,Magnesium,400,mg
23,309,Zinc,15,mg
24,317,Selenium,70,µg
25,312,Copper,2,mg
26,315,Manganese,2,mg
